"","UMAP1","UMAP2","Group"
"LNEN203_TU",-8.9975179628943,-2.72597551265426,"lung NETs Ca A2"
"LNEN206_TU",2.25121561857342,1.31971056781667,"lung NETs supra-carcinoids"
"LNEN209_TU",-2.18993533736888,2.64703954324954,"lung NETs Ca B"
"LNEN210_TU",1.00464329138905,11.4799854620033,"lung NETs Ca A1"
"LNEN213_TU",-8.79495140604581,-1.87078975546546,"lung NETs Ca A2"
"LNEN215_TU",0.951481937679686,12.0456750872078,"lung NETs Ca A1"
"LNEN221_TU",0.227494709362189,11.0892089773675,"lung NETs Ca A1"
"LNEN224_TU",-9.08069354900829,-2.15544518850739,"lung NETs Ca A2"
"LNEN231_TU",1.05107374683606,10.8925956706198,"lung NETs Ca A1"
"LNEN233_TU",0.680799149318013,10.8985863478336,"lung NETs Ca A1"
"LNEN234_TU",0.553302330351248,10.7064834051976,"lung NETs Ca A1"
"LNEN235_TU",-8.91381770351445,-1.79849116170307,"lung NETs Ca A2"
"LNEN236_TU",0.221032557919563,11.8868445342361,"lung NETs Ca A1"
"LNEN243_TU",-9.25956709853408,-1.75352127804823,"lung NETs Ca A2"
"LNEN245_TU",-9.80354800023631,-1.98389605858146,"lung NETs Ca A2"
"LNEN247_TU",-9.50435558567354,-1.59598346579493,"lung NETs Ca A2"
"LNEN248_TU",-9.3180188988539,-1.96014023588658,"lung NETs Ca A2"
"LNEN252_TU",-2.51280167910473,3.32644185735685,"lung NETs Ca B"
"LNEN253_TU",-8.66040869550993,-2.02312590510645,"lung NETs Ca A2"
"LNEN255_TU",1.59627619613465,11.8801937109908,"lung NETs Ca A1"
"LNEN270_TU",-9.28939960270034,-2.05387049846516,"lung NETs Ca A2"
"LNEN272_TU",0.986884018322936,12.033316559541,"lung NETs Ca A1"
"LNEN277_TU",-1.99712921937164,1.93964587215672,"lung NETs Ca B"
"LNEN278s1_TU1",2.31959165578408,1.47277779012034,"lung NETs supra-carcinoids"
"LNEN204_TU",-9.48818767617615,-1.63501411447021,"lung NETs Ca A2"
"LNEN205_TU",1.017615002102,11.7882433175278,"lung NETs Ca A1"
"LNEN207_TU",0.738410490488843,11.9957713408597,"lung NETs Ca A1"
"LNEN208_TU",1.14016501347045,11.5917982004616,"lung NETs Ca A1"
"LNEN211_TU",-8.68814661315271,-2.1280548410795,"lung NETs Ca A2"
"LNEN212_TU",0.86179808807784,10.9253142006746,"lung NETs Ca A1"
"LNEN214_TU",0.956854929938941,10.6323109387783,"lung NETs Ca B"
"LNEN216_TU",1.02903106324203,10.7747165705679,"lung NETs Ca A1"
"LNEN218_TU",-2.09500698017288,2.09986308846963,"lung NETs Ca B"
"LNEN219_TU",0.943263325753871,10.6358020486885,"lung NETs Ca A1"
"LNEN223_TU",0.251115267285184,10.3750240025069,"lung NETs Ca A1"
"LNEN225_TU",0.101876559704606,12.2026127879937,"lung NETs Ca A1"
"LNEN226_TU",-9.58471960895151,-1.82088345267795,"lung NETs Ca A2"
"LNEN227_TU",-9.30835748919638,-2.01391876433065,"lung NETs Ca A2"
"LNEN228_TU",-8.76360457361891,-1.88496467836433,"lung NETs Ca A2"
"LNEN229_TU",-2.67506774190572,3.32977700156811,"lung NETs Ca B"
"LNEN230_TU",-8.87707926850602,-2.10772159348097,"lung NETs Ca A2"
"LNEN232_TU",0.204600735547602,12.3902318238458,"lung NETs Ca A1"
"LNEN237_TU",-2.30591669068384,2.35811579072376,"lung NETs Ca B"
"LNEN238_TU",0.522324287299628,10.8140940883044,"lung NETs Ca A1"
"LNEN239_TU",-2.10548529065367,2.12171013163889,"lung NETs Ca B"
"LNEN240_TU",-2.22038066041681,2.13734432159431,"lung NETs Ca B"
"LNEN241_TU",-8.66732962770507,-2.24889066304097,"lung NETs Ca A2"
"LNEN244_TU",-9.19126008515736,-2.01311637307014,"lung NETs Ca A2"
"LNEN249_TU",0.475325684618728,10.5357310885578,"lung NETs Ca A1"
"LNEN250_TU",-8.91500061539088,-2.43883093536024,"lung NETs Ca A2"
"LNEN258_TU",-2.43956263667165,2.80895532567634,"lung NETs Ca B"
"LNEN263_TU",-9.66540246983628,-1.68959691544805,"lung NETs Ca A2"
"LNEN268_TU",-9.63551877650791,-1.5620791061661,"lung NETs Ca A2"
"LNEN269_TU",0.738037423652888,11.1385564480988,"lung NETs Ca A1"
"LNEN273_TU",0.315652710968942,12.0502532276833,"lung NETs Ca A1"
"LNEN276_TU",0.555884080770074,11.2382621153928,"lung NETs Ca A1"
"LNEN002",-2.200153494344,3.48459612278664,"lung NETs Ca B"
"LNEN003",-9.7178054933714,-2.61396950094223,"lung NETs Ca A2"
"LNEN004",-9.53960925725156,-2.84632489154904,"lung NETs Ca A2"
"LNEN005",2.34214216239466,1.56289903806271,"lung NETs supra-carcinoids"
"LNEN006",-9.17325933360539,-2.87767811846511,"lung NETs Ca A2"
"LNEN007",-2.53092975515923,3.13097509103183,"lung NETs Ca B"
"LNEN008",-2.24162472022973,3.64123814792631,"lung NETs Ca B"
"LNEN009",-1.91813345367305,1.86423455591973,"lung NETs Ca B"
"LNEN010",-2.58120505681641,3.079954545985,"lung NETs Ca B"
"LNEN011",-9.65663892067492,-2.17745330366138,"lung NETs Ca A2"
"LNEN012",2.50137256718388,1.6879616399594,"lung NETs supra-carcinoids"
"LNEN013",1.35740155990357,11.6661550160305,"lung NETs Ca A1"
"LNEN014",-2.56867093439312,3.2068874864575,"lung NETs Ca B"
"LNEN015",-2.51594172980248,2.89232231920279,"lung NETs Ca B"
"LNEN016",-8.62806888216252,-1.83872455278836,"lung NETs Ca A2"
"LNEN017",-2.02382489758567,2.02454710311251,"lung NETs Ca B"
"LNEN018",-9.22506572077145,-2.97920009096805,"lung NETs Ca A2"
"LNEN019",1.72599124811528,11.6332873460317,"lung NETs Ca A1"
"LNEN020",-2.55888898221621,2.70256090840473,"lung NETs Ca B"
"S00016",0.838481545726076,11.5270185384845,"lung NETs Ca A1"
"S00022",3.83804390412309,-0.582569663683012,"SCLC"
"S00050AB",3.86933658811079,-0.384483363156024,"SCLC"
"S00076",1.83951808645619,11.5678419627884,"lung NETs Ca A1"
"S00089",-2.3733552354265,4.04482781123581,"lung NETs Ca B"
"S00094",-9.40922237009362,-2.95797766440621,"lung NETs Ca A2"
"S00118",-2.39500060060224,4.12639444245241,"lung NETs Ca B"
"S00128",0.313450359867124,11.0461483852422,"lung NETs Ca A1"
"S00396",3.12745581699985,2.34264211131118,"LCNEC"
"S00400",2.18432737359217,0.730458967232313,"LCNEC"
"S00472",3.37712427759493,-0.412794318994038,"SCLC"
"S00501",2.95035657231629,-0.217412852582529,"SCLC"
"S00515",-9.65195223973201,-2.4492848054667,"lung NETs Ca A2"
"S00516",-10.0258105440782,-2.58048103741649,"lung NETs Ca A2"
"S00517",1.94570983477208,0.534897839178983,"LCNEC"
"S00520",-2.65625066728259,2.95459690109841,"lung NETs Ca B"
"S00529",2.35965926131133,0.833541259829404,"LCNEC"
"S00531",2.92787086251379,1.95982120894213,"LCNEC"
"S00534",2.25122658719236,0.913269656919478,"LCNEC"
"S00540",2.40758841394038,0.444830196906358,"LCNEC"
"S00550",3.18804409395938,2.40663287847632,"LCNEC"
"S00567",3.15742100210502,2.24794572201105,"LCNEC"
"S00570",2.33023285813517,1.38333007322961,"LCNEC"
"S00581",1.87805039674997,0.310850992972638,"LCNEC"
"S00584",3.31593002240673,2.45050901097106,"LCNEC"
"S00587",2.67172987833343,0.526608595232089,"LCNEC"
"S00602",1.46331751308564,11.6376213742093,"LCNEC"
"S00608",1.82767448736862,0.163617527743762,"LCNEC"
"S00609",3.30759632136931,2.37267294913291,"LCNEC"
"S00613",3.30856213326066,1.64879369507354,"LCNEC"
"S00640",2.32393109773009,0.909594597565022,"LCNEC"
"S00694",3.96762716728308,-0.520711770781835,"LCNEC"
"S00710",3.58022871275185,-0.476519956944131,"LCNEC"
"S00711",2.41087056900245,1.13380918325598,"LCNEC"
"S00712",3.22214408514376,2.16391358296855,"LCNEC"
"S00713",2.16156417171414,0.733063496429929,"LCNEC"
"S00714",3.11804358269895,1.52509551242749,"LCNEC"
"S00716_B",-2.68192125029109,2.76225863600333,"lung NETs Ca B"
"S00718",2.72890905332247,1.83298054355693,"LCNEC"
"S00725",1.86546862951153,0.214063736928778,"LCNEC"
"S00732",3.04205346817593,2.4172952881861,"LCNEC"
"S00733",1.76347456449004,0.5863834008412,"LCNEC"
"S00739",2.68365877260643,0.78737939489364,"LCNEC"
"S00790",2.63769580109887,0.594768763278345,"LCNEC"
"S00791",2.39947387318073,0.828831368120239,"LCNEC"
"S00793",3.5170881507242,-0.694157885505305,"LCNEC"
"S00794",2.99259724517125,0.458112427594025,"LCNEC"
"S00795",2.86162321254924,0.210363171565835,"LCNEC"
"S00796",3.10509484276505,2.29928027647718,"LCNEC"
"S00799",2.78320680776352,1.32462180543557,"LCNEC"
"S00825",3.00292700923671,-0.0526984530813887,"SCLC"
